input_len,num_samples,num,epoch,ensemble,smape,mase*
18,113k,0,1,False,20.952252086077113,4.2464632309018056
18,113k,0,1,True,20.952252086077113,4.2464632309018056
18,113k,0,2,False,20.950913737541704,4.2461015163644875
18,113k,0,2,True,20.951582380951848,4.246282233465125
18,113k,0,3,False,20.94960716908588,4.245750667167679
18,113k,0,3,True,20.950913737541704,4.2461015163644875
18,113k,0,4,False,20.948169349811263,4.245374749459353
18,113k,0,4,True,20.950260087901846,4.245925990304487
18,113k,0,5,False,20.947295155865046,4.24512382994964
18,113k,0,5,True,20.94960716908588,4.245750667167679
18,113k,0,6,False,20.946894545937006,4.24497842001592
18,113k,0,6,True,20.948989774261015,4.2455854640465756
18,113k,0,7,False,20.94765445591175,4.245087033705082
18,113k,0,7,True,20.94906880157533,4.245606964111781
18,113k,0,8,False,20.94632232666999,4.244747140719153
18,113k,0,8,True,20.94896280591323,4.2455676686302315
18,113k,0,9,False,20.94569139947429,4.244561897846593
18,113k,0,9,True,20.948804962194615,4.245514058497583
18,113k,0,10,False,20.944824946580507,4.244328510707226
18,113k,0,10,True,20.948242083446836,4.245348955057685
18,113k,0,11,False,20.944448969101447,4.244203902047997
18,113k,0,11,True,20.947765706740952,4.2452079932753275
18,113k,0,12,False,20.94382097302333,4.244027762892047
18,113k,0,12,True,20.946958565688384,4.244955879867971
18,113k,0,13,False,20.943089922254284,4.243832126325229
18,113k,0,13,True,20.946141876958304,4.244702090616863
18,113k,0,14,False,20.942639347011873,4.24369935346578
18,113k,0,14,True,20.945976553054816,4.244654819243463
18,113k,0,15,False,20.941903189476765,4.2435073499104545
18,113k,0,15,True,20.94581527243407,4.244608980796129
18,113k,1,1,False,13.468778994333512,2.7600045785838465
18,113k,1,1,True,13.468778994333512,2.7600045785838465
18,113k,1,2,False,13.332756639815255,2.7223002599286943
18,113k,1,2,True,13.38430574670862,2.7386892088063766
18,113k,1,3,False,13.533655217812075,2.796389510462187
18,113k,1,3,True,13.39974746338631,2.7516799701983863
18,113k,1,4,False,13.341009805438983,2.718686360239809
18,113k,1,4,True,13.359134798691162,2.737277284408463
18,113k,1,5,False,13.299261053213744,2.7041857479004445
18,113k,1,5,True,13.334364720143874,2.726208874022423
18,113k,1,6,False,13.34707475372368,2.734849834608609
18,113k,1,6,True,13.323655446797062,2.726393489887764
18,113k,1,7,False,13.29618010321808,2.713500013142597
18,113k,1,7,True,13.307642549047728,2.7226696907306422
18,113k,1,8,False,13.31647176737832,2.7246180901868873
18,113k,1,8,True,13.306484874525852,2.723209150960381
18,113k,1,9,False,13.238409306760449,2.702174041823403
18,113k,1,9,True,13.293291722844193,2.720002727582183
18,113k,1,10,False,13.331660779067093,2.739051352637209
18,113k,1,10,True,13.295548811577232,2.721647974336821
18,113k,1,11,False,13.307643418606947,2.723569096743137
18,113k,1,11,True,13.295972055691719,2.721398836364003
18,113k,1,12,False,13.211165803419714,2.683405353645799
18,113k,1,12,True,13.286617911835688,2.7186849607857604
18,113k,1,13,False,13.345489257064603,2.745084646508743
18,113k,1,13,True,13.287777603943944,2.7199402814568683
18,113k,1,14,False,13.271991007450557,2.7150138708947344
18,113k,1,14,True,13.28450970352532,2.7191665525508744
18,113k,1,15,False,13.336053106100536,2.7440963641039424
18,113k,1,15,True,13.286200776569626,2.7208235765491113
18,113k,2,1,False,13.501971333945711,2.758351343504103
18,113k,2,1,True,13.501971333945711,2.758351343504103
18,113k,2,2,False,13.602421664480817,2.8068924908787145
18,113k,2,2,True,13.539684017137159,2.7797179237431298
18,113k,2,3,False,13.392857154825862,2.7334015647385663
18,113k,2,3,True,13.464065081895678,2.755370627818538
18,113k,2,4,False,13.41615532430214,2.743651045884523
18,113k,2,4,True,13.442561533916194,2.750700682687347
18,113k,2,5,False,13.46067560530421,2.761014788269151
18,113k,2,5,True,13.450154132729665,2.754427194441863
18,113k,2,6,False,13.412024815146353,2.745879548952799
18,113k,2,6,True,13.437530503201662,2.751972134691328
18,113k,2,7,False,13.452263226393766,2.7379024007479584
18,113k,2,7,True,13.42447818362242,2.7474920230238133
18,113k,2,8,False,13.390048677105598,2.746275617077936
18,113k,2,8,True,13.418841781937246,2.7475987868371696
18,113k,2,9,False,13.442953400086797,2.7568427577022896
18,113k,2,9,True,13.42071237954831,2.748746383692912
18,113k,2,10,False,13.313972301510288,2.7188989425272747
18,113k,2,10,True,13.407256097808032,2.7451689994052044
18,113k,2,11,False,13.483134139172197,2.7761751587566237
18,113k,2,11,True,13.408893257165778,2.747052295233502
18,113k,2,12,False,13.287965372478086,2.7090423605463996
18,113k,2,12,True,13.393836129964512,2.743397310306642
18,113k,2,13,False,13.348976397402547,2.720259198845926
18,113k,2,13,True,13.38417263672554,2.7405619016454716
18,113k,2,14,False,13.297319648784509,2.7073050429867345
18,113k,2,14,True,13.370816261570171,2.7363370629615495
18,113k,2,15,False,13.261262772176348,2.694498163420677
18,113k,2,15,True,13.359110864104638,2.7325716501544597
18,113k,3,1,False,20.870129008960568,4.221039501589805
18,113k,3,1,True,20.870129008960568,4.221039501589805
18,113k,3,2,False,20.873251296104865,4.2216957977519955
18,113k,3,2,True,20.871670150168615,4.221361699250662
18,113k,3,3,False,20.870222268065945,4.220963400230787
18,113k,3,3,True,20.870222268065945,4.220963400230787
18,113k,3,4,False,20.8691610972951,4.220679607997212
18,113k,3,4,True,20.869691334564255,4.220821404717954
18,113k,3,5,False,20.870640396321726,4.22097176594281
18,113k,3,5,True,20.87021021566329,4.220959326960426
18,113k,3,6,False,20.868100897619087,4.220358969460165
18,113k,3,6,True,20.869361008978615,4.2207147926346575
18,113k,3,7,False,20.868446934889523,4.220399538492427
18,113k,3,7,True,20.869452503601515,4.220722145648112
18,113k,3,8,False,20.86832070380986,4.220335964646919
18,113k,3,8,True,20.869111100609658,4.220609866590112
18,113k,3,9,False,20.8681900832025,4.220273647950975
18,113k,3,9,True,20.868770405788577,4.220497762464612
18,113k,3,10,False,20.868223954482332,4.220250868166351
18,113k,3,10,True,20.868722392813858,4.22047543593098
18,113k,3,11,False,20.868187390578186,4.22021403687354
18,113k,3,11,True,20.868674655036894,4.22045319555477
18,113k,3,12,False,20.868875329407143,4.220343652552519
18,113k,3,12,True,20.868771535399123,4.220473764615661
18,113k,3,13,False,20.867114413567663,4.2199196870786775
18,113k,3,13,True,20.868854754710192,4.220490559390171
18,113k,3,14,False,20.86620644610442,4.219691306082818
18,113k,3,14,True,20.86858668327614,4.22041291274661
18,113k,3,15,False,20.86584079408765,4.219587146517619
18,113k,3,15,True,20.86831873575991,4.220335309029494
18,113k,4,1,False,21.38587941776459,4.3728380649887955
18,113k,4,1,True,21.38587941776459,4.3728380649887955
18,113k,4,2,False,21.38324240184288,4.372090401454163
18,113k,4,2,True,21.384560088890563,4.372464017301346
18,113k,4,3,False,21.38055962131864,4.3713448492110345
18,113k,4,3,True,21.38324240184288,4.372090401454163
18,113k,4,4,False,21.37896520929873,4.370822443377748
18,113k,4,4,True,21.3819781720319,4.371737768481126
18,113k,4,5,False,21.376483469341395,4.3701380437286055
