input_len,direction,size,depth,num,epoch,ensemble,smape,mase*
18,bi,128,2,2,1,False,13.24618250536052,2.720569443824876
18,bi,128,2,2,1,True,13.24618250536052,2.720569443824876
18,bi,128,2,2,2,False,13.190740321806047,2.699473179103758
18,bi,128,2,2,2,True,13.189638599664539,2.7061917394114317
18,bi,128,2,2,3,False,13.127822535077007,2.6808221579810816
18,bi,128,2,2,3,True,13.158305277566521,2.6962336074174442
18,bi,128,2,2,4,False,13.234744939447056,2.696142340449173
18,bi,128,2,2,4,True,13.147811158904725,2.691863446988558
18,bi,128,2,2,5,False,13.246066946689403,2.725441211170541
18,bi,128,2,2,5,True,13.15386841429447,2.6952272994992446
18,bi,128,2,2,6,False,13.036693454716396,2.653136901322067
18,bi,128,2,2,6,True,13.12546614420222,2.6871246397842956
18,bi,128,2,2,7,False,13.058292035855672,2.6751139111553965
18,bi,128,2,2,7,True,13.103475549126562,2.682575321381434
18,bi,128,2,2,8,False,13.270223112158694,2.7029273837143877
18,bi,128,2,2,8,True,13.100212517382012,2.68150760021264
18,bi,128,2,2,9,False,13.0888455062616,2.6663746849559913
18,bi,128,2,2,9,True,13.093352403487149,2.6785092184047588
18,bi,128,2,2,10,False,13.058297666426057,2.652300252308604
18,bi,128,2,2,10,True,13.082137682578677,2.6747571419348026
18,bi,128,2,,0,True,13.057621378334478,2.665903314794958
18,bi,128,2,,1,True,13.06857034773443,2.6737392103822613
18,bi,128,2,,2,True,13.084516205673596,2.6771838108246655
18,bi,128,2,,3,True,13.092051133520881,2.6791135424985324
18,bi,128,2,,4,True,13.043892373585585,2.6664073820894085
18,bi,128,2,,5,True,13.033676831256649,2.658689901455632
18,bi,128,2,,6,True,13.025949022727092,2.66071410569437
18,bi,128,2,,7,True,13.052421665828746,2.66421956278458
18,bi,128,2,,8,True,13.060970375960043,2.6727993801131222
18,bi,128,2,,9,True,13.075299088365247,2.6709253977523018
18,bi,128,2,8,1,False,13.402709463499018,2.7081034162379884
18,bi,128,2,8,1,True,13.402709463499018,2.7081034162379884
18,bi,128,2,8,2,False,13.203233922153096,2.669248633556233
18,bi,128,2,8,2,True,13.165380224104293,2.6727284056052274
18,bi,128,2,8,3,False,13.307813502877462,2.7009735074946275
18,bi,128,2,8,3,True,13.217717681807226,2.682967536282355
18,bi,128,2,8,4,False,13.470163036672332,2.761635234712244
18,bi,128,2,8,4,True,13.238586297552581,2.69225151613277
18,bi,128,2,8,5,False,13.186515310061683,2.6749568245457733
18,bi,128,2,8,5,True,13.208482109425994,2.686665015551873
18,bi,128,2,8,6,False,13.197287477307075,2.6779963438762984
18,bi,128,2,8,6,True,13.160854743008079,2.6762189169076094
18,bi,128,2,8,7,False,13.288632446989725,2.7109549760950915
18,bi,128,2,8,7,True,13.176997639727311,2.682102248802286
18,bi,128,2,8,8,False,13.22921365986025,2.6686472915817823
18,bi,128,2,8,8,True,13.158671951991328,2.675166192064154
18,bi,128,2,8,9,False,13.28505307152721,2.704357504473066
18,bi,128,2,8,9,True,13.16947976507961,2.6777038212531497
18,bi,128,2,8,10,False,13.413415659980787,2.731330511914639
18,bi,128,2,8,10,True,13.188369103746142,2.683307788071131
18,bi,128,2,5,1,False,13.192757275258414,2.68347135742968
18,bi,128,2,5,1,True,13.192757275258414,2.68347135742968
18,bi,128,2,5,2,False,13.056460468845586,2.6660323922805245
18,bi,128,2,5,2,True,13.064398878945378,2.6617450228361323
18,bi,128,2,5,3,False,13.253216137669211,2.7137535002112734
18,bi,128,2,5,3,True,13.115734909832646,2.6786313061148164
18,bi,128,2,5,4,False,13.052272481244163,2.64584643772281
18,bi,128,2,5,4,True,13.061762085224727,2.6613668576252967
18,bi,128,2,5,5,False,13.066259408121192,2.6636958160902724
18,bi,128,2,5,5,True,13.047503651534702,2.6589314092070033
18,bi,128,2,5,6,False,13.314473541517671,2.7187254114578367
18,bi,128,2,5,6,True,13.062496313337117,2.6617666629004337
18,bi,128,2,5,7,False,13.121983464885584,2.6734269274114006
18,bi,128,2,5,7,True,13.060130924759246,2.6625143101922
18,bi,128,2,5,8,False,13.034034871073478,2.649671167968826
18,bi,128,2,5,8,True,13.044875185502276,2.657965257368234
18,bi,128,2,5,9,False,13.185172580140948,2.701063356910088
18,bi,128,2,5,9,True,13.056441897016024,2.66227497663538
18,bi,128,2,5,10,False,13.16944150707296,2.6708270402563508
18,bi,128,2,5,10,True,13.050600281948142,2.6592548567021477
18,bi,128,2,3,1,False,13.230158631732651,2.67569193489456
18,bi,128,2,3,1,True,13.230158631732651,2.67569193489456
18,bi,128,2,3,2,False,13.147302095630025,2.6810034713791526
18,bi,128,2,3,2,True,13.156305998264852,2.671777642354588
18,bi,128,2,3,3,False,13.103473890610376,2.692749097726839
18,bi,128,2,3,3,True,13.126267282244592,2.676927490631209
18,bi,128,2,3,4,False,13.17101389792572,2.684026108671649
18,bi,128,2,3,4,True,13.123588514988493,2.676151128711356
18,bi,128,2,3,5,False,13.197085086679417,2.7088748236048583
18,bi,128,2,3,5,True,13.122495454715876,2.680515847703418
18,bi,128,2,3,6,False,13.169256654026638,2.693881155702099
18,bi,128,2,3,6,True,13.121237367076064,2.680105774161239
18,bi,128,2,3,7,False,13.250498009342115,2.7074504695390695
18,bi,128,2,3,7,True,13.127572290319744,2.6814901769484143
18,bi,128,2,3,8,False,13.072658907173494,2.645657610415462
18,bi,128,2,3,8,True,13.11094983657335,2.6753969498111028
18,bi,128,2,3,9,False,13.12396459566533,2.6810099780307968
18,bi,128,2,3,9,True,13.10065376291958,2.6744358105205754
18,bi,128,2,3,10,False,13.182421294426574,2.696374457037706
18,bi,128,2,3,10,True,13.10221643083153,2.6756725421694103
18,bi,128,2,0,1,False,13.197183385314334,2.6803658920088247
18,bi,128,2,0,1,True,13.197183385314334,2.6803658920088247
18,bi,128,2,0,2,False,13.435109112069748,2.7043055690867397
18,bi,128,2,0,2,True,13.240043131915488,2.678854399199986
18,bi,128,2,0,3,False,13.335134598447693,2.7710805599633805
18,bi,128,2,0,3,True,13.14283450020783,2.673903578213615
18,bi,128,2,0,4,False,13.13603638961678,2.6729538508605044
18,bi,128,2,0,4,True,13.11217668985809,2.6693575793775737
18,bi,128,2,0,5,False,13.676391607209288,2.806759404230921
18,bi,128,2,0,5,True,13.108936371785704,2.672853429994792
18,bi,128,2,0,6,False,13.05689486510862,2.6484417301695853
18,bi,128,2,0,6,True,13.0711750057088,2.664168852789976
18,bi,128,2,0,7,False,13.433551173844997,2.7604266141485336
18,bi,128,2,0,7,True,13.085888857292716,2.6699381665530098
18,bi,128,2,0,8,False,13.07404490119062,2.6552196995885518
18,bi,128,2,0,8,True,13.06782265988075,2.664610441454666
18,bi,128,2,0,9,False,13.280444640474776,2.7090016392542164
18,bi,128,2,0,9,True,13.082557611342777,2.66739474500984
18,bi,128,2,0,10,False,13.076738094330254,2.655597789204267
18,bi,128,2,0,10,True,13.06981023041027,2.6638934331637443
18,bi,128,2,9,1,False,13.304539554545237,2.684591317387008
18,bi,128,2,9,1,True,13.304539554545237,2.684591317387008
18,bi,128,2,9,2,False,13.472036113626002,2.7304286641753612
18,bi,128,2,9,2,True,13.33210503511282,2.697596209623057
18,bi,128,2,9,3,False,13.378583356875653,2.7257873279747167
18,bi,128,2,9,3,True,13.307441721392527,2.699125909803179
18,bi,128,2,9,4,False,13.487130159468386,2.7656704229616182
18,bi,128,2,9,4,True,13.311797082658131,2.7114402521613576
18,bi,128,2,9,5,False,13.135928009917407,2.6781272563066585
18,bi,128,2,9,5,True,13.24364296575679,2.697058387611612
18,bi,128,2,9,6,False,13.388009190228168,2.7262578430182636
18,bi,128,2,9,6,True,13.253546914178003,2.7008325118787675
18,bi,128,2,9,7,False,13.36712332443041,2.7318839543082025
18,bi,128,2,9,7,True,13.245318849920706,2.7005779750063383
18,bi,128,2,9,8,False,13.346121817893692,2.71284547632942
18,bi,128,2,9,8,True,13.242913816063576,2.6994651293790706
18,bi,128,2,9,9,False,13.456621081504359,2.738613326477011
18,bi,128,2,9,9,True,13.263121108423354,2.7035294229879923
18,bi,128,2,9,10,False,13.453804165352597,2.7512212803763805
18,bi,128,2,9,10,True,13.260843756931006,2.7042742803994577
18,bi,128,2,4,1,False,13.309053254975868,2.7529134507260755
18,bi,128,2,4,1,True,13.309053254975868,2.7529134507260755
18,bi,128,2,4,2,False,13.156262269004122,2.697297663229132
18,bi,128,2,4,2,True,13.191383145450851,2.715879920634515
18,bi,128,2,4,3,False,13.375671908433478,2.7328571517848874
18,bi,128,2,4,3,True,13.160350806243274,2.7004767157043195
18,bi,128,2,4,4,False,13.207821311116943,2.6725159359337107
18,bi,128,2,4,4,True,13.136739949687698,2.687509652441271
18,bi,128,2,4,5,False,13.128361942531399,2.6753012363497892
18,bi,128,2,4,5,True,13.125876258713658,2.682493932686669
18,bi,128,2,4,6,False,13.097907673639696,2.66777439138639
18,bi,128,2,4,6,True,13.109194458420024,2.677752243175622
18,bi,128,2,4,7,False,13.147714847892882,2.682624374747452
18,bi,128,2,4,7,True,13.11039148812968,2.6775761195833856
18,bi,128,2,4,8,False,13.19236860196526,2.69416484580857
18,bi,128,2,4,8,True,13.106398934334354,2.6767486990081126
18,bi,128,2,4,9,False,13.150561990283874,2.696960367469478
18,bi,128,2,4,9,True,13.106455288787785,2.678422965105204
18,bi,128,2,4,10,False,13.31720991005974,2.713031003626019
18,bi,128,2,4,10,True,13.113551312422572,2.6796020170593025
18,bi,128,2,6,1,False,13.161917784484263,2.675670669048345
18,bi,128,2,6,1,True,13.161917784484263,2.675670669048345
18,bi,128,2,6,2,False,13.279780624560333,2.729343164535617
18,bi,128,2,6,2,True,13.184258361117667,2.694518277663791
18,bi,128,2,6,3,False,13.202248244113006,2.6815858654688953
18,bi,128,2,6,3,True,13.132654735326355,2.6762238000660514
18,bi,128,2,6,4,False,13.24276661257745,2.7071627064281047
18,bi,128,2,6,4,True,13.143983718693377,2.6818705888958694
18,bi,128,2,6,5,False,13.205402131554086,2.678351652629607
18,bi,128,2,6,5,True,13.129388415695091,2.6755317209555947
18,bi,128,2,6,6,False,13.23845416292274,2.6848018975377093
18,bi,128,2,6,6,True,13.128170646838495,2.6755378656152256
18,bi,128,2,6,7,False,13.183729589901885,2.664532067768446
18,bi,128,2,6,7,True,13.120214246214324,2.6707523076357
18,bi,128,2,6,8,False,13.310164311081252,2.7132935655430868
18,bi,128,2,6,8,True,13.13600735151538,2.67568078330135
18,bi,128,2,6,9,False,13.39203851965861,2.745059976641452
18,bi,128,2,6,9,True,13.151294497492858,2.6804427089668112
18,bi,128,2,6,10,False,13.34624326455439,2.7302663563822813
18,bi,128,2,6,10,True,13.156616083563298,2.6835135559340624
18,bi,128,2,1,1,False,13.18120400289651,2.7089090290382885
18,bi,128,2,1,1,True,13.18120400289651,2.7089090290382885
18,bi,128,2,1,2,False,13.362435161052261,2.768461686908686
18,bi,128,2,1,2,True,13.228809774777014,2.727077873549839
18,bi,128,2,1,3,False,13.209914963880767,2.6744112393281547
18,bi,128,2,1,3,True,13.15976750560492,2.6921129164881523
18,bi,128,2,1,4,False,13.1033596022219,2.6887139285398503
18,bi,128,2,1,4,True,13.124984203147271,2.6882774108054885
18,bi,128,2,1,5,False,13.223878406365975,2.6972599971161406
18,bi,128,2,1,5,True,13.149970036870153,2.692467086678104
18,bi,128,2,1,6,False,13.141397944960273,2.7023725938614547
18,bi,128,2,1,6,True,13.134725843238634,2.692158200248477
18,bi,128,2,1,7,False,13.051727149527439,2.652913303661281
18,bi,128,2,1,7,True,13.107037417559978,2.6846758818771086
18,bi,128,2,1,8,False,13.214160740274584,2.71240716694418
18,bi,128,2,1,8,True,13.122605921620483,2.689158285878859
18,bi,128,2,1,9,False,13.054595894473982,2.6566419498445755
18,bi,128,2,1,9,True,13.103046131421582,2.6837416725609815
18,bi,128,2,1,10,False,13.084490323840468,2.6712255577526007
18,bi,128,2,1,10,True,13.090593992330087,2.679733803838845
18,bi,128,2,7,1,False,13.28681231372515,2.706905980232641
18,bi,128,2,7,1,True,13.28681231372515,2.706905980232641
18,bi,128,2,7,2,False,13.288787981670284,2.7121845106184526
18,bi,128,2,7,2,True,13.25269299066951,2.702659700747834
18,bi,128,2,7,3,False,13.300563410631906,2.6967518581059107
18,bi,128,2,7,3,True,13.247382604825141,2.6992434011127826
18,bi,128,2,7,4,False,13.5688893608805,2.797641618826027
18,bi,128,2,7,4,True,13.264371590916452,2.708303138260523
18,bi,128,2,7,5,False,13.31821331483661,2.720319050616387
18,bi,128,2,7,5,True,13.268926812108832,2.7108411361137397
18,bi,128,2,7,6,False,13.386153921557455,2.717153918243509
18,bi,128,2,7,6,True,13.25531996872741,2.704838931477387
18,bi,128,2,7,7,False,13.185899478007997,2.683520328949465
18,bi,128,2,7,7,True,13.22726379448217,2.6988127379067555
18,bi,128,2,7,8,False,13.306228600946417,2.712658863997592
18,bi,128,2,7,8,True,13.225951407691957,2.6996227593374353
18,bi,128,2,7,9,False,13.203507327495533,2.6833768515688963
18,bi,128,2,7,9,True,13.212941182338293,2.6956482735983798
18,bi,128,2,7,10,False,13.229988474411146,2.689174689476867
18,bi,128,2,7,10,True,13.200491418262883,2.6919558712231524
18,bi,128,3,6,1,False,13.222945111302684,2.700376303037805
18,bi,128,3,6,1,True,13.222945111302684,2.700376303037805
18,bi,128,3,6,2,False,13.29039612506608,2.7262879785032488
18,bi,128,3,6,2,True,13.223713067760261,2.706669464598313
18,bi,128,3,6,3,False,13.292066666577592,2.715170306318282
18,bi,128,3,6,3,True,13.216286440211231,2.705019249625468
18,bi,128,3,6,4,False,13.155446310121324,2.682237027298377
18,bi,128,3,6,4,True,13.17520283880967,2.694528340609845
18,bi,128,3,6,5,False,13.260115330987633,2.7213713334150587
18,bi,128,3,6,5,True,13.178200136110993,2.698115690117154
18,bi,128,3,6,6,False,13.22638838851705,2.6958076452196096
18,bi,128,3,6,6,True,13.157937611846982,2.6918610696574965
18,bi,128,3,6,7,False,13.11471481717879,2.672410541661133
18,bi,128,3,6,7,True,13.144856703105667,2.6875739334772812
18,bi,128,3,6,8,False,13.193601412683453,2.6961305696315745
18,bi,128,3,6,8,True,13.142239916732866,2.6866856305102997
18,bi,128,3,6,9,False,13.083327340446893,2.658356375577055
18,bi,128,3,6,9,True,13.126105442766207,2.681235142394873
18,bi,128,3,6,10,False,13.265220960752021,2.7127987129156668
