input_len,n_samples,combinations,num,epoch,ensemble,smape,mase*
18,1400000,2,2,1,False,14.035201917171023,2.776136131183371
18,1400000,2,2,1,True,14.035201917171023,2.776136131183371
18,1400000,2,,0,True,14.576544280924677,2.8597049584535745
18,1400000,2,6,1,False,15.959064636635416,3.057592140395263
18,1400000,2,6,1,True,15.959064636635416,3.057592140395263
18,1400000,2,7,1,False,16.308757783922776,3.1242632128616026
18,1400000,2,7,1,True,16.308757783922776,3.1242632128616026
18,1400000,2,8,1,False,16.266820938507664,3.1179162817578723
18,1400000,2,8,1,True,16.266820938507664,3.1179162817578723
18,1400000,2,9,1,False,16.370263538065462,3.1486766575703187
18,1400000,2,9,1,True,16.370263538065462,3.1486766575703187
18,1400000,2,4,1,False,15.585644029344548,3.0108475403942703
18,1400000,2,4,1,True,15.585644029344548,3.0108475403942703
18,1400000,2,3,1,False,15.067181976119258,2.9290380130532596
18,1400000,2,3,1,True,15.067181976119258,2.9290380130532596
18,1400000,2,0,1,False,13.410067918124518,2.7114783232025648
18,1400000,2,0,1,True,13.410067918124518,2.7114783232025648
18,1400000,2,1,1,False,13.307653217730222,2.6809448404244547
18,1400000,2,1,1,True,13.307653217730222,2.6809448404244547
18,1400000,2,5,1,False,15.661014460439729,3.015051417829109
18,1400000,2,5,1,True,15.661014460439729,3.015051417829109
18,140000,2,0,1,False,13.455459598785515,2.7331187091998315
18,140000,2,0,1,True,13.455459598785515,2.7331187091998315
18,140000,2,,0,True,13.230535289880082,2.6961499072205894
18,140000,2,4,1,False,13.356286144779007,2.7385772459195277
18,140000,2,4,1,True,13.356286144779007,2.7385772459195277
18,140000,2,7,1,False,13.27861323506111,2.7140683294087324
18,140000,2,7,1,True,13.27861323506111,2.7140683294087324
18,140000,2,1,1,False,13.257140391039027,2.695126335717791
18,140000,2,1,1,True,13.257140391039027,2.695126335717791
18,140000,2,5,1,False,40.892953659068084,7.875724928918037
18,140000,2,5,1,True,40.892953659068084,7.875724928918037
18,140000,2,2,1,False,13.182353790717826,2.6781240370681396
18,140000,2,2,1,True,13.182353790717826,2.6781240370681396
18,140000,2,6,1,False,13.48285112129508,2.768799674307294
18,140000,2,6,1,True,13.48285112129508,2.768799674307294
18,140000,2,8,1,False,13.17152874652484,2.669009229371173
18,140000,2,8,1,True,13.17152874652484,2.669009229371173
18,140000,2,9,1,False,13.173361198598508,2.67728249110209
18,140000,2,9,1,True,13.173361198598508,2.67728249110209
18,140000,2,3,1,False,13.204876033673546,2.687879123671762
18,140000,2,3,1,True,13.204876033673546,2.687879123671762
