optimizer,learning_rate,amsgrad,exponential_decay,num,epoch,ensemble,smape,mase*
adam,0.0005,False,False,0,1,False,14.207693498749048,2.985587662995432
adam,0.0005,False,False,0,1,True,14.207693498749048,2.985587662995432
adam,0.0005,False,False,0,2,False,15.464421240793184,3.0016465272084263
adam,0.0005,False,False,0,2,True,14.400676403095794,2.953752595869351
adam,0.0005,False,False,0,3,False,13.840754503767116,2.8302833205892677
adam,0.0005,False,False,0,3,True,14.104842670609544,2.915207150800641
adam,0.0005,False,False,0,4,False,14.24698923063001,2.7734061143140516
adam,0.0005,False,False,0,4,True,14.085144771713486,2.85949025876495
adam,0.0005,False,False,0,5,False,13.44189702919308,2.72002401742126
adam,0.0005,False,False,0,5,True,13.767432484510532,2.8035077627923
adam,0.0005,False,False,0,6,False,13.777384562458028,2.7236781921004134
adam,0.0005,False,False,0,6,True,13.682863817941277,2.7687964418071056
adam,0.0005,False,False,0,7,False,13.63995060355464,2.839241263601683
adam,0.0005,False,False,0,7,True,13.637039470474287,2.7804275264939275
adam,0.0005,False,False,0,8,False,13.102002195637871,2.67274515455218
adam,0.0005,False,False,0,8,True,13.481413644748065,2.7522582045057753
adam,0.0005,False,False,0,9,False,13.35402874033872,2.6656419517963603
adam,0.0005,False,False,0,9,True,13.421242747525366,2.7327464074136456
adam,0.0005,False,False,0,10,False,13.726134434512163,2.880998309200109
adam,0.0005,False,False,0,10,True,13.390531433721476,2.7422732531134693
adam,0.0005,False,False,0,11,False,13.192248330689369,2.6702650897548135
adam,0.0005,False,False,0,11,True,13.315531946101864,2.7259255353071596
adam,0.0005,False,False,0,12,False,13.313724825850171,2.6659230302061685
adam,0.0005,False,False,0,12,True,13.2450232867073,2.700125736490734
adam,0.0005,False,False,0,13,False,13.266483221413619,2.716782378796207
adam,0.0005,False,False,0,13,True,13.215856151630236,2.697808298443191
adam,0.0005,False,False,0,14,False,13.211706593690526,2.669906528344915
adam,0.0005,False,False,0,14,True,13.188307830488549,2.6871379817965626
adam,0.0005,False,False,0,15,False,13.542169055309158,2.756945421106651
adam,0.0005,False,False,0,15,True,13.190968528693679,2.686132755405969
adam,0.0005,False,False,1,1,False,14.953010115693404,3.1812459083772695
adam,0.0005,False,False,1,1,True,14.953010115693404,3.1812459083772695
adam,0.0005,False,False,1,2,False,14.095955540103741,2.8478063751959573
adam,0.0005,False,False,1,2,True,14.374950447703064,2.980010011963273
adam,0.0005,False,False,1,3,False,13.588375738545043,2.718006398259035
adam,0.0005,False,False,1,3,True,13.921657661263497,2.8348608987696635
adam,0.0005,False,False,1,4,False,13.442750119930386,2.756942702635071
adam,0.0005,False,False,1,4,True,13.617000245752397,2.7848041843062643
adam,0.0005,False,False,1,5,False,13.536911151361988,2.6942301489743214
adam,0.0005,False,False,1,5,True,13.468657491093904,2.7415469320804093
adam,0.0005,False,False,1,6,False,13.774172173299347,2.8593280684705418
adam,0.0005,False,False,1,6,True,13.47019425598409,2.7565057467375844
adam,0.0005,False,False,1,7,False,13.422984506011717,2.6679034942107656
adam,0.0005,False,False,1,7,True,13.411590905945005,2.731352202272113
adam,0.0005,False,False,1,8,False,13.537632742130741,2.712007347970311
adam,0.0005,False,False,1,8,True,13.345998556041717,2.7097042339974786
adam,0.0005,False,False,1,9,False,14.416439624684465,3.070640958246222
