optimizer,learning_rate,exponential_decay,num,epoch,ensemble,smape,mase*
rmsprop,0.0001,False,3,1,False,13.737144194727577,2.7861704200874207
rmsprop,0.0001,False,3,1,True,13.737144194727577,2.7861704200874207
rmsprop,0.0001,False,3,2,False,13.403217465522182,2.7183091965797224
rmsprop,0.0001,False,3,2,True,13.510113973494116,2.7434978495134907
rmsprop,0.0001,False,3,3,False,13.470179843892383,2.7198582931388837
rmsprop,0.0001,False,3,3,True,13.431130767258942,2.7199903879502965
rmsprop,0.0001,False,3,4,False,14.151623137031555,2.844159107909057
rmsprop,0.0001,False,3,4,True,13.51130345324297,2.739434347935531
rmsprop,0.0001,False,3,5,False,14.272710602006748,2.8409250471092378
rmsprop,0.0001,False,3,5,True,13.615407152527837,2.7561221990124887
rmsprop,0.0001,False,3,6,False,13.596672218036444,2.7945804000533414
rmsprop,0.0001,False,3,6,True,13.525221522707294,2.749889775089002
rmsprop,0.0001,False,3,7,False,13.576097491772666,2.7544007481486985
rmsprop,0.0001,False,3,7,True,13.540355865406434,2.7487514373377295
rmsprop,0.0001,False,3,8,False,15.125665833572711,3.0315706444571338
rmsprop,0.0001,False,3,8,True,13.564006108917335,2.7559501189991003
rmsprop,0.0001,False,3,9,False,13.528545205602386,2.735635119748841
rmsprop,0.0001,False,3,9,True,13.53325817461356,2.7471393731559997
rmsprop,0.0001,False,3,10,False,13.538516546002123,2.767370346255861
rmsprop,0.0001,False,3,10,True,13.516424076624656,2.746507625838446
rmsprop,0.0001,False,3,11,False,13.798542227380041,2.7555433533844007
rmsprop,0.0001,False,3,11,True,13.529858499483659,2.7458121118927887
rmsprop,0.0001,False,3,12,False,13.434705813369701,2.7019139217975923
rmsprop,0.0001,False,3,12,True,13.507450409100603,2.740348866153755
rmsprop,0.0001,False,3,13,False,13.569956823197415,2.7658601692342755
rmsprop,0.0001,False,3,13,True,13.506531745101107,2.7418268095420175
rmsprop,0.0001,False,3,14,False,13.757904296974862,2.773841073971942
rmsprop,0.0001,False,3,14,True,13.52411526322916,2.7453584411487117
