input_len,direction,size,depth,num,epoch,ensemble,smape,mase*
18,bi,128,2,0,1,False,14.201453326360095,2.9453076354977448
18,bi,128,2,0,1,True,14.201453326360095,2.9453076354977448
18,bi,128,2,0,2,False,13.592386516004415,2.800937695043652
18,bi,128,2,0,2,True,13.823703170946832,2.8625444934027366
18,bi,128,2,0,3,False,13.476503319906689,2.7115257284676413
18,bi,128,2,0,3,True,13.632889535441508,2.797463406559263
18,bi,128,2,0,4,False,13.348026916962887,2.7098582625285084
18,bi,128,2,0,4,True,13.463830746107304,2.7473796067014304
18,bi,128,2,0,5,False,13.489681760941496,2.7566304325904136
18,bi,128,2,0,5,True,13.486680563283041,2.756022616490279
18,bi,128,2,0,6,False,13.373495024233305,2.7379241362304096
18,bi,128,2,0,6,True,13.444814426642488,2.748250099718505
18,bi,128,2,0,7,False,13.24618480785804,2.6740727601951266
18,bi,128,2,0,7,True,13.404304024057007,2.7367355503535453
18,bi,128,2,0,8,False,13.282373981908544,2.700436117494991
18,bi,128,2,0,8,True,13.351194504348344,2.7211196274586262
18,bi,128,2,0,9,False,13.281402849400354,2.7078511544964368
18,bi,128,2,0,9,True,13.327345936022764,2.71467743235278
18,bi,128,2,0,10,False,13.255425345964909,2.708258417189492
18,bi,128,2,0,10,True,13.31078910625219,2.71285429511256
18,bi,128,2,0,11,False,13.31986974855036,2.709366723723749
18,bi,128,2,0,11,True,13.300550251421587,2.710126674621377
18,bi,128,2,0,12,False,13.28803368186654,2.7145428302446173
18,bi,128,2,0,12,True,13.289216561973955,2.7089744687319626
18,bi,128,2,0,13,False,13.377938882171806,2.7259409707259517
18,bi,128,2,0,13,True,13.285840153719036,2.7089731819600242
18,bi,128,2,0,14,False,13.305883527682841,2.7210808775300332
18,bi,128,2,0,14,True,13.279275408624857,2.7100174428041357
18,bi,128,2,0,15,False,13.466369989155073,2.7604520826920926
18,bi,128,2,0,15,True,13.281618569229416,2.712373390157738
18,bi,128,2,1,1,False,13.752878044729956,2.7397681363167448
18,bi,128,2,1,1,True,13.752878044729956,2.7397681363167448
18,bi,128,2,1,2,False,13.275869510120652,2.6786712443042417
18,bi,128,2,1,2,True,13.376760577178553,2.6882032004933922
18,bi,128,2,1,3,False,13.349669557419244,2.7137927278387344
18,bi,128,2,1,3,True,13.26688844873007,2.6750685294488834
18,bi,128,2,1,4,False,13.252791545169465,2.686690443907521
18,bi,128,2,1,4,True,13.245591527344285,2.675872105223878
18,bi,128,2,1,5,False,13.381120422946985,2.712712380193197
18,bi,128,2,1,5,True,13.251822647059896,2.6807175504589273
18,bi,128,2,1,6,False,13.560590213890851,2.7927623161613555
18,bi,128,2,1,6,True,13.260309914842068,2.6875539878939563
18,bi,128,2,1,7,False,13.368137059556009,2.7150312184903305
18,bi,128,2,1,7,True,13.286685485172699,2.6952146300330004
18,bi,128,2,1,8,False,13.328306674324356,2.7049071687758954
18,bi,128,2,1,8,True,13.279437373787868,2.693265327015155
18,bi,128,2,1,9,False,13.357646997509024,2.728976497677925
18,bi,128,2,1,9,True,13.287601004429161,2.6979574762306604
18,bi,128,2,1,10,False,13.27349024199966,2.709293356917566
18,bi,128,2,1,10,True,13.28414704326334,2.6994949430320805
18,bi,128,2,1,11,False,13.322004650003601,2.694483089282128
18,bi,128,2,1,11,True,13.276728507471748,2.6978711388479835
18,bi,128,2,1,12,False,13.480064377077095,2.7202221884028024
18,bi,128,2,1,12,True,13.280935060483769,2.6986247257674396
18,bi,128,2,1,13,False,13.222715558835878,2.6872220442039247
18,bi,128,2,1,13,True,13.272342437174975,2.697551854720041
18,bi,128,2,1,14,False,13.39875755610726,2.749933470915335
18,bi,128,2,1,14,True,13.268395421721289,2.6986983006880814
18,bi,128,2,1,15,False,13.327854344571849,2.741354146392684
18,bi,128,2,1,15,True,13.264419086712898,2.6998729445472227
18,bi,128,2,2,1,False,14.291460421445104,2.973154459511798
18,bi,128,2,2,1,True,14.291460421445104,2.973154459511798
18,bi,128,2,2,2,False,13.956631188819957,2.9083284239506613
18,bi,128,2,2,2,True,14.059145909853594,2.931427095117378
18,bi,128,2,2,3,False,13.453906655211759,2.7511390796900907
18,bi,128,2,2,3,True,13.841497424905379,2.8773480167577015
18,bi,128,2,2,4,False,13.190619551072691,2.6700060452273853
18,bi,128,2,2,4,True,13.591243456339438,2.8031380248772435
18,bi,128,2,2,5,False,13.320980793351882,2.71397564471732
18,bi,128,2,2,5,True,13.431359724267416,2.752118444667929
18,bi,128,2,2,6,False,13.245662604275761,2.683982077008794
18,bi,128,2,2,6,True,13.351263238515395,2.7276478829679034
18,bi,128,2,2,7,False,13.22165906412251,2.678648317604383
18,bi,128,2,2,7,True,13.293481966974538,2.709265575381958
18,bi,128,2,2,8,False,13.257340905535028,2.703412965766488
18,bi,128,2,2,8,True,13.268014927367748,2.701726399880682
18,bi,128,2,2,9,False,13.293405455896528,2.70445164951208
18,bi,128,2,2,9,True,13.269344223730359,2.701814286013603
18,bi,128,2,2,10,False,13.238635417834015,2.6847582896638937
18,bi,128,2,2,10,True,13.252266650903428,2.697334418967476
18,bi,128,2,2,11,False,13.229377362455764,2.6938703842370626
18,bi,128,2,2,11,True,13.245690240221478,2.6958830568516543
18,bi,128,2,2,12,False,13.275365917509376,2.7149575852156103
18,bi,128,2,2,12,True,13.239701489399671,2.6969630621152043
18,bi,128,2,2,13,False,13.53065275267218,2.769141540174182
18,bi,128,2,2,13,True,13.244657264920546,2.6995800864193766
18,bi,128,2,2,14,False,13.346921765667751,2.7168576195112477
18,bi,128,2,2,14,True,13.242908671180219,2.700606713074572
18,bi,128,2,2,15,False,13.358461379210055,2.75017766854842
18,bi,128,2,2,15,True,13.243349332112631,2.7025917171417353
