input_len,direction,size,depth,num,epoch,ensemble,smape,mase*
18,bi,128,2,2,1,False,13.453910147930376,2.751140269123306
18,bi,128,2,2,1,True,13.453910147930376,2.751140269123306
18,bi,128,2,2,2,False,13.19062021985092,2.670006377696381
18,bi,128,2,2,2,True,13.279308531078378,2.69933961604406
18,bi,128,2,2,3,False,13.229378672327181,2.693870896681047
18,bi,128,2,2,3,True,13.237952693833673,2.6923295486035186
18,bi,128,2,2,4,False,13.221659434839866,2.678648551586594
18,bi,128,2,2,4,True,13.200596331889658,2.6793011008828587
18,bi,128,2,2,5,False,14.291467922762639,2.9731568873032854
18,bi,128,2,2,5,True,13.233915331973504,2.6919458533857923
18,bi,128,2,2,6,False,13.275368248577653,2.7149583671880553
18,bi,128,2,2,6,True,13.231880401676555,2.6990415511643393
18,bi,128,2,2,7,False,13.24566307319637,2.6839823606756292
18,bi,128,2,2,7,True,13.219814578278436,2.6889652165359785
18,bi,128,2,2,8,False,13.293406951687365,2.704452249043691
18,bi,128,2,2,8,True,13.236037178520457,2.6937406137141164
18,bi,128,2,2,9,False,13.346923992625648,2.716858302874839
18,bi,128,2,2,9,True,13.238891847408874,2.696424229795964
18,bi,128,2,2,10,False,13.956637633840346,2.9083305439340412
18,bi,128,2,2,10,True,13.250707668341883,2.7013675319038466
18,bi,128,2,2,11,False,13.530655916180917,2.7691424997951866
18,bi,128,2,2,11,True,13.265861073187006,2.7070727121475726
18,bi,128,2,2,12,False,13.257342509350385,2.703413551829676
18,bi,128,2,2,12,True,13.250111644629273,2.703162669508058
18,bi,128,2,2,13,False,13.32098266020957,2.713976354067126
18,bi,128,2,2,13,True,13.259854947641575,2.7049510938596932
18,bi,128,2,2,14,False,13.23863685294977,2.6847587924150917
18,bi,128,2,2,14,True,13.242910388654774,2.7006073704975515
18,bi,128,2,2,15,False,13.358464143889972,2.750178588128805
18,bi,128,2,2,15,True,13.243351132435162,2.702592393370437
18,bi,128,2,,0,True,13.33099269803783,2.7129081010847065
18,bi,128,2,,1,True,13.262970559288059,2.6975986036248605
18,bi,128,2,,2,True,13.227207854361613,2.698479940803574
18,bi,128,2,,3,True,13.28684240515716,2.70710068190385
18,bi,128,2,,4,True,13.63204316111235,2.7522796917274595
18,bi,128,2,,5,True,13.243632828354263,2.704403372709782
18,bi,128,2,,6,True,13.327746228619956,2.7241032596379418
18,bi,128,2,,7,True,13.2415861608221,2.702171430698302
18,bi,128,2,,8,True,13.239888124799206,2.703913488152569
18,bi,128,2,,9,True,13.49868020259464,2.770225579458277
18,bi,128,2,,10,True,13.263918388828122,2.712793959380335
18,bi,128,2,,11,True,13.269243080366524,2.702418532261821
18,bi,128,2,,12,True,13.354467851938816,2.725735958898688
18,bi,128,2,,13,True,13.2491951001375,2.707197663526397
18,bi,128,2,,14,True,13.29595081266529,2.7300695145477007
18,bi,128,2,8,1,False,13.37342130406318,2.711002277586314
18,bi,128,2,8,1,True,13.37342130406318,2.711002277586314
18,bi,128,2,8,2,False,13.244138083037358,2.6940914608548057
18,bi,128,2,8,2,True,13.268895950676239,2.6956355681278055
18,bi,128,2,8,3,False,13.24266582418704,2.6987677943912427
18,bi,128,2,8,3,True,13.24782132094231,2.6944950977942352
18,bi,128,2,8,4,False,13.361826947833816,2.724413770088547
18,bi,128,2,8,4,True,13.28032089758495,2.7029399652791515
18,bi,128,2,8,5,False,13.636403253918896,2.762440278941823
18,bi,128,2,8,5,True,13.286832730754899,2.704797045555901
18,bi,128,2,8,6,False,13.398309499308352,2.738006819445352
18,bi,128,2,8,6,True,13.292387000692244,2.7084151897202586
18,bi,128,2,8,7,False,13.345522555717828,2.731007657983343
18,bi,128,2,8,7,True,13.298790683527391,2.7125901950962743
18,bi,128,2,8,8,False,13.222901702527086,2.685734420316921
18,bi,128,2,8,8,True,13.274640739853066,2.706972382017947
18,bi,128,2,8,9,False,13.221867407529453,2.684609501008933
18,bi,128,2,8,9,True,13.26495108857016,2.7036559717915454
18,bi,128,2,8,10,False,13.365293551588582,2.7287339785796036
18,bi,128,2,8,10,True,13.264369208653138,2.704269537104701
18,bi,128,2,8,11,False,13.447921772436981,2.764545294847868
18,bi,128,2,8,11,True,13.273839768377968,2.7078106322137248
18,bi,128,2,8,12,False,13.30568199301505,2.703147006471654
18,bi,128,2,8,12,True,13.273388969995347,2.706761358027495
18,bi,128,2,8,13,False,13.333739257951029,2.713155169030488
18,bi,128,2,8,13,True,13.275816203102199,2.7070624987109064
18,bi,128,2,8,14,False,13.296662719843216,2.7218233388413746
18,bi,128,2,8,14,True,13.275092678013825,2.708361507001536
18,bi,128,2,8,15,False,13.509019918683453,2.8025961406414286
18,bi,128,2,8,15,True,13.276296237274618,2.7105896096593454
18,bi,128,2,5,1,False,13.344096854493685,2.719891333773605
18,bi,128,2,5,1,True,13.344096854493685,2.719891333773605
18,bi,128,2,5,2,False,13.172689113949724,2.671022809333166
18,bi,128,2,5,2,True,13.23048157996497,2.6884529824955243
18,bi,128,2,5,3,False,13.335899722274673,2.7205986410820793
18,bi,128,2,5,3,True,13.267180825137027,2.7047598691722716
18,bi,128,2,5,4,False,13.344818557922663,2.732913384730858
18,bi,128,2,5,4,True,13.269407236599816,2.70896718572301
18,bi,128,2,5,5,False,13.607936643120473,2.728684995213864
18,bi,128,2,5,5,True,13.272625419153986,2.707987797945818
18,bi,128,2,5,6,False,13.330885183444444,2.7077956516770247
18,bi,128,2,5,6,True,13.2619186829328,2.7023208844369875
18,bi,128,2,5,7,False,13.382087944953353,2.7445165606215696
18,bi,128,2,5,7,True,13.285789769801584,2.7105813484907246
18,bi,128,2,5,8,False,13.221942686421896,2.6891443951389777
18,bi,128,2,5,8,True,13.261419411211667,2.703840926257512
18,bi,128,2,5,9,False,13.163440606382018,2.6659123896636348
18,bi,128,2,5,9,True,13.240525558911575,2.697317022484592
18,bi,128,2,5,10,False,13.70615592108674,2.836716400927738
