optimizer,learning_rate,amsgrad,exponential_decay,num,epoch,ensemble,smape,mase*
adam,0.0001,False,False,3,1,False,13.539879428005014,2.7177035935649836
adam,0.0001,False,False,3,1,True,13.539879428005014,2.7177035935649836
adam,0.0001,False,False,3,2,False,13.515684308962967,2.763250049506862
adam,0.0001,False,False,3,2,True,13.461450143018903,2.727064976871661
adam,0.0001,False,False,3,3,False,13.487572881612419,2.7296890746877924
adam,0.0001,False,False,3,3,True,13.4583045178915,2.7318767025740787
adam,0.0001,False,False,3,4,False,14.33864608820279,2.9155376883649655
adam,0.0001,False,False,3,4,True,13.494614776363099,2.7400568081983745
adam,0.0001,False,False,3,5,False,14.341593749152217,2.8457609258651164
adam,0.0001,False,False,3,5,True,13.538950271209687,2.7408209345155585
adam,0.0001,False,False,3,6,False,13.599382753221708,2.771428183057624
adam,0.0001,False,False,3,6,True,13.501497586008002,2.7430095005918447
adam,0.0001,False,False,3,7,False,13.589906456062176,2.7391103132851202
adam,0.0001,False,False,3,7,True,13.549342503327205,2.7449775716460465
adam,0.0001,False,False,3,8,False,15.135531943834822,3.0210005888965146
adam,0.0001,False,False,3,8,True,13.536206102269352,2.743665249512831
adam,0.0001,False,False,3,9,False,13.627131415737342,2.7414259011601
adam,0.0001,False,False,3,9,True,13.551719983769022,2.7439833960610858
adam,0.0001,False,False,3,10,False,13.532108074075962,2.753312644108201
adam,0.0001,False,False,3,10,True,13.538596027968492,2.744051958257717
adam,0.0001,False,False,3,11,False,13.953214840370238,2.8223372932055915
adam,0.0001,False,False,3,11,True,13.558969774678234,2.7478072114658354
adam,0.0001,False,False,3,12,False,13.476453065470686,2.725433925181713
adam,0.0001,False,False,3,12,True,13.540275401447897,2.744051609235779
adam,0.0001,False,False,3,13,False,13.801239877552936,2.8418960583560056
adam,0.0001,False,False,3,13,True,13.543105797348428,2.7484636057893557
adam,0.0001,False,False,3,14,False,13.694207299513485,2.7536358703701604
adam,0.0001,False,False,3,14,True,13.553308263037561,2.7477521546430266
adam,0.0001,False,False,3,15,False,13.539533644739556,2.772608575671347
adam,0.0001,False,False,3,15,True,13.54281374733665,2.7486884565144063
adam,0.0001,False,False,0,1,False,13.741169421654096,2.7748174552351297
adam,0.0001,False,False,0,1,True,13.741169421654096,2.7748174552351297
adam,0.0001,False,False,0,2,False,13.43256088735621,2.7247911576033865
adam,0.0001,False,False,0,2,True,13.536933400664019,2.7439191756299377
adam,0.0001,False,False,0,3,False,13.498558783873953,2.743861402375644
adam,0.0001,False,False,0,3,True,13.481922390072226,2.7384357634413554
adam,0.0001,False,False,0,4,False,14.230234289952023,2.8751510943621734
adam,0.0001,False,False,0,4,True,13.547191088068292,2.7509611690975677
adam,0.0001,False,False,0,5,False,14.561775292477881,2.920517591121564
adam,0.0001,False,False,0,5,True,13.65382709354354,2.768054651750573
adam,0.0001,False,False,0,6,False,13.444835241807738,2.7087525892827475
adam,0.0001,False,False,0,6,True,13.533846705962079,2.746195621871337
adam,0.0001,False,False,0,7,False,13.53994806275768,2.7278964927603733
adam,0.0001,False,False,0,7,True,13.526314344521447,2.739099379556519
adam,0.0001,False,False,0,8,False,15.323227575277274,3.073288544406264
adam,0.0001,False,False,0,8,True,13.552995618466005,2.74811372426717
adam,0.0001,False,False,0,9,False,13.62145702254228,2.7601414446273043
adam,0.0001,False,False,0,9,True,13.53287865502257,2.7426776429151536
adam,0.0001,False,False,0,10,False,13.53135129935752,2.7487001741788344
adam,0.0001,False,False,0,10,True,13.523733213197222,2.742321555206548
adam,0.0001,False,False,0,11,False,13.780077509273658,2.760290112934336
adam,0.0001,False,False,0,11,True,13.530997412655598,2.7422428099494542
adam,0.0001,False,False,0,12,False,13.628257321836381,2.77774972558368
adam,0.0001,False,False,0,12,True,13.530896622638481,2.743578228943618
adam,0.0001,False,False,0,13,False,13.454030845167946,2.714262966203922
adam,0.0001,False,False,0,13,True,13.518743999387834,2.7397930129918437
adam,0.0001,False,False,0,14,False,13.998082298360682,2.877000274212016
adam,0.0001,False,False,0,14,True,13.532203166612042,2.7440340524603872
adam,0.0001,False,False,0,15,False,13.341299888960041,2.697971640597692
adam,0.0001,False,False,0,15,True,13.514577157862801,2.739980325837265
adam,0.0001,False,False,1,1,False,13.659069295094303,2.770864015838999
adam,0.0001,False,False,1,1,True,13.659069295094303,2.770864015838999
adam,0.0001,False,False,1,2,False,13.517642491936291,2.7524945340145694
adam,0.0001,False,False,1,2,True,13.53437271975054,2.7544919113783726
adam,0.0001,False,False,1,3,False,13.426729046697407,2.7208150565317646
adam,0.0001,False,False,1,3,True,13.462949126458259,2.7361030587964796
adam,0.0001,False,False,1,4,False,14.361465310683428,2.909889004963973
adam,0.0001,False,False,1,4,True,13.523058988916901,2.7514114224031654
adam,0.0001,False,False,1,5,False,14.499898519000237,2.9073714620286557
adam,0.0001,False,False,1,5,True,13.625015148760799,2.768265810705941
adam,0.0001,False,False,1,6,False,13.678115700499092,2.767641501570883
adam,0.0001,False,False,1,6,True,13.545288948639195,2.7554251263986864
adam,0.0001,False,False,1,7,False,13.822978943802335,2.8203158655778693
adam,0.0001,False,False,1,7,True,13.646204360815577,2.7736797893473812
adam,0.0001,False,False,1,8,False,15.10435679514385,3.011788779493675
adam,0.0001,False,False,1,8,True,13.636378361715824,2.7739375835717963
adam,0.0001,False,False,1,9,False,13.710404775628367,2.8074447481046683
adam,0.0001,False,False,1,9,True,13.641701646449556,2.7774527675555727
adam,0.0001,False,False,1,10,False,13.629408970551069,2.779767446322795
adam,0.0001,False,False,1,10,True,13.62704957259129,2.776826431698411
adam,0.0001,False,False,1,11,False,14.16114774615385,2.882394923649976
adam,0.0001,False,False,1,11,True,13.66211945611187,2.7843028759807584
adam,0.0001,False,False,1,12,False,13.56177116944733,2.736583632710035
adam,0.0001,False,False,1,12,True,13.63259552444446,2.777251236657424
adam,0.0001,False,False,1,13,False,13.545033472451767,2.7518895188454624
adam,0.0001,False,False,1,13,True,13.608606780511321,2.7718266175446913
adam,0.0001,False,False,1,14,False,13.815677630769146,2.7959116671546105
adam,0.0001,False,False,1,14,True,13.621408321947394,2.7724540625405973
adam,0.0001,False,False,1,15,False,13.370426066683127,2.694852120932246
adam,0.0001,False,False,1,15,True,13.59354046567123,2.766179949544281
adam,0.0001,False,False,2,1,False,13.592770918063952,2.7252261330781913
adam,0.0001,False,False,2,1,True,13.592770918063952,2.7252261330781913
adam,0.0001,False,False,2,2,False,13.628712307966747,2.805652386244919
adam,0.0001,False,False,2,2,True,13.52044164861921,2.749163314444028
adam,0.0001,False,False,2,3,False,13.419693363275572,2.722844720870887
adam,0.0001,False,False,2,3,True,13.434790845972314,2.730364064889345
adam,0.0001,False,False,2,4,False,14.10467222720149,2.858620738305808
adam,0.0001,False,False,2,4,True,13.500594191872738,2.744490525947009
adam,0.0001,False,False,2,5,False,14.812273233770707,3.0138875547163333
adam,0.0001,False,False,2,5,True,13.602511294004563,2.767548465138337
adam,0.0001,False,False,2,6,False,13.716930245409257,2.836479773444478
adam,0.0001,False,False,2,6,True,13.574981400302736,2.7763180038043314
adam,0.0001,False,False,2,7,False,13.671094848072753,2.781277235065988
adam,0.0001,False,False,2,7,True,13.61679896593364,2.7782663149888123
adam,0.0001,False,False,2,8,False,15.354707490815482,3.089218610035291
adam,0.0001,False,False,2,8,True,13.624595296378935,2.7818310701392552
adam,0.0001,False,False,2,9,False,13.558938262603448,2.7657830012896123
adam,0.0001,False,False,2,9,True,13.600979427022024,2.777123047730973
adam,0.0001,False,False,2,10,False,13.481716745035422,2.7441106173693512
adam,0.0001,False,False,2,10,True,13.569112070763069,2.7710673705954765
adam,0.0001,False,False,2,11,False,14.571628852072802,3.03979774709173
adam,0.0001,False,False,2,11,True,13.607784042264104,2.779986903673957
adam,0.0001,False,False,2,12,False,13.483916602828009,2.7333572305250495
adam,0.0001,False,False,2,12,True,13.575503695553335,2.772481665762859
adam,0.0001,False,False,2,13,False,13.615811706758054,2.7640870677426075
adam,0.0001,False,False,2,13,True,13.568269737709599,2.7702290302902157
adam,0.0001,False,False,2,14,False,13.755026697897721,2.7891270820512597
adam,0.0001,False,False,2,14,True,13.582479087534525,2.7715320979126403
adam,0.0001,False,False,2,15,False,13.526237187286236,2.756050775894758
adam,0.0001,False,False,2,15,True,13.565657800559102,2.768797482098983
adam,0.0001,False,False,,0,True,13.601902406583008,2.738985908911478
adam,0.0001,False,False,,1,True,13.502307307925571,2.756350520861812
adam,0.0001,False,False,,2,True,13.44176898398253,2.7259763274795956
adam,0.0001,False,False,,3,True,14.263640386124475,2.8920796463882192
adam,0.0001,False,False,,4,True,14.525832079609094,2.913131924049557
adam,0.0001,False,False,,5,True,13.591595541184034,2.7679345213983066
adam,0.0001,False,False,,6,True,13.622439622984318,2.755709231433482
adam,0.0001,False,False,,7,True,15.216990186430127,3.045637574200597
adam,0.0001,False,False,,8,True,13.569371407230202,2.7548840166115482
adam,0.0001,False,False,,9,True,13.531547602914449,2.7533174451195284
adam,0.0001,False,False,,10,True,14.021356804620034,2.848906801458866
adam,0.0001,False,False,,11,True,13.504528189747809,2.73460816887631
adam,0.0001,False,False,,12,True,13.567786369381258,2.7574491322157932
adam,0.0001,False,False,,13,True,13.76887247786214,2.7895006460524607
adam,0.0001,False,False,,14,True,13.40907707519275,2.720986105461752
adam,0.0001,False,False,,,True,13.547430580247335,2.7546271796184256
adam,0.0001,False,True,0,1,False,13.9009984881692,2.8330155792496874
adam,0.0001,False,True,0,1,True,13.9009984881692,2.8330155792496874
adam,0.0001,False,True,0,2,False,13.536648123650224,2.7257026982638077
adam,0.0001,False,True,0,2,True,13.648596715755842,2.767663867062228
adam,0.0001,False,True,0,3,False,13.687363031662118,2.795164783593122
adam,0.0001,False,True,0,3,True,13.668269501846375,2.7846097233474003
adam,0.0001,False,True,0,4,False,14.378058356776823,2.9171453958467892
adam,0.0001,False,True,0,4,True,13.731231169475693,2.7996210044594223
adam,0.0001,False,True,0,5,False,14.734007402028134,2.9658623158054693
adam,0.0001,False,True,0,5,True,13.842666871720757,2.8196622552153365
adam,0.0001,False,True,0,6,False,13.609644158281473,2.7636758001859367
adam,0.0001,False,True,0,6,True,13.71446324439942,2.795899529008909
adam,0.0001,False,True,0,7,False,13.669355096056673,2.753347741292758
adam,0.0001,False,True,0,7,True,13.694945172771558,2.7809332494393186
adam,0.0001,False,True,0,8,False,15.254999543601773,3.0538635889503976
adam,0.0001,False,True,0,8,True,13.724424892921498,2.7900844194218464
adam,0.0001,False,True,0,9,False,13.660326104934828,2.7725398222817326
adam,0.0001,False,True,0,9,True,13.68209200934099,2.7797234882659034
adam,0.0001,False,True,0,10,False,13.554603287717297,2.735815677235171
adam,0.0001,False,True,0,10,True,13.656110674380422,2.7726325597127137
adam,0.0001,False,True,0,11,False,14.073641866067323,2.8401672059841023
adam,0.0001,False,True,0,11,True,13.675584762523336,2.7759717814356946
adam,0.0001,False,True,0,12,False,13.658625337271776,2.798056714151512
adam,0.0001,False,True,0,12,True,13.666000211990394,2.7777966311901623
adam,0.0001,False,True,0,13,False,13.697274054484996,2.7937862654741057
adam,0.0001,False,True,0,13,True,13.66739041380545,2.7801297243690675
adam,0.0001,False,True,0,14,False,13.956989846903952,2.834496638789777
