input_len,n_samples,combinations,num,epoch,ensemble,smape,mase*
18,1400000,2,2.0,1.0,0.0,13.496692411592855,2.7589574007831
18,1400000,2,2.0,1.0,1.0,13.496692411592855,2.7589574007831
18,1400000,2,2.0,2.0,0.0,13.339564943436999,2.706228621308239
18,1400000,2,2.0,2.0,1.0,13.384334316604704,2.7257859802258206
18,1400000,2,2.0,3.0,0.0,13.279176119487527,2.6753166608569865
18,1400000,2,2.0,3.0,1.0,13.330061256960313,2.7075311381278566
18,1400000,2,2.0,4.0,0.0,13.349602776911006,2.7005554577571367
18,1400000,2,2.0,4.0,1.0,13.302106619969154,2.701478387132964
18,1400000,2,2.0,5.0,0.0,13.587876508081731,2.7786503973106402
18,1400000,2,2.0,5.0,1.0,13.332397706620073,2.7146429987401763
18,1400000,2,2.0,6.0,0.0,13.365348150063335,2.7064151508277208
18,1400000,2,2.0,6.0,1.0,13.307145010651615,2.706477548083673
18,1400000,2,2.0,7.0,0.0,13.473559883103938,2.7099167504603936
18,1400000,2,2.0,7.0,1.0,13.310157211029635,2.7039519208274103
18,1400000,2,2.0,8.0,0.0,13.589921878691973,2.75180482035635
18,1400000,2,2.0,8.0,1.0,13.3301952259354,2.709338120723791
18,1400000,2,2.0,9.0,0.0,13.374532682257714,2.7122790788175712
18,1400000,2,2.0,9.0,1.0,13.32111274947106,2.7063542413636945
18,1400000,2,2.0,10.0,0.0,13.471166194772115,2.73362597064533
18,1400000,2,2.0,10.0,1.0,13.320211300653375,2.7059170017139795
18,1400000,2,2.0,11.0,0.0,13.665894100319756,2.7891938553746534
18,1400000,2,2.0,11.0,1.0,13.327497950988242,2.708225137966441
18,1400000,2,2.0,12.0,0.0,13.488530776458028,2.7435471695186044
18,1400000,2,2.0,12.0,1.0,13.331105221670509,2.7100559423620303
18,1400000,2,2.0,13.0,0.0,13.420513851325214,2.728576852890248
18,1400000,2,2.0,13.0,1.0,13.332495363437241,2.711463908685416
18,1400000,2,2.0,14.0,0.0,13.483257703254187,2.7342355975818573
18,1400000,2,2.0,14.0,1.0,13.333450821295893,2.711097412452061
18,1400000,2,2.0,15.0,0.0,13.521561455693055,2.763434311365149
18,1400000,2,2.0,15.0,1.0,13.331505818456266,2.711352996062681
18,1400000,2,6.0,1.0,0.0,13.521493697607866,2.7611818402488155
18,1400000,2,6.0,1.0,1.0,13.521493697607866,2.7611818402488155
18,1400000,2,6.0,2.0,0.0,13.358652472128382,2.6837927914529778
18,1400000,2,6.0,2.0,1.0,13.39233538927507,2.7118502872992343
18,1400000,2,6.0,3.0,0.0,13.36949165720808,2.69750634586948
18,1400000,2,6.0,3.0,1.0,13.33488088146583,2.7017871513760814
18,1400000,2,6.0,4.0,0.0,13.48722089865532,2.7425491731094724
18,1400000,2,6.0,4.0,1.0,13.355197370590586,2.7113429209791464
18,1400000,2,6.0,5.0,0.0,13.779995714324972,2.8473848716961494
18,1400000,2,6.0,5.0,1.0,13.387133970214052,2.729498396532939
18,1400000,2,6.0,6.0,0.0,13.33458225984126,2.7018270679703367
18,1400000,2,6.0,6.0,1.0,13.332890485993445,2.716943872067158
18,1400000,2,6.0,7.0,0.0,13.684717107273595,2.726098899419878
