input_len,direction,size,depth,num,epoch,ensemble,smape,mase*
18,bi,16,2,1,1,False,15.464353969317376,3.0727955356240413
18,bi,16,2,1,1,True,15.464353969317376,3.0727955356240413
18,bi,16,2,1,2,False,13.429576572557572,2.7228080912392576
18,bi,16,2,1,2,True,14.114974935729736,2.8368077963642415
18,bi,16,2,1,3,False,13.49357179686143,2.7394459147123964
18,bi,16,2,1,3,True,13.432678392361879,2.7319151059006
18,bi,16,2,1,4,False,13.614282354065653,2.8097788015970067
18,bi,16,2,1,4,True,13.44283914682901,2.751143490841014
18,bi,16,2,1,5,False,13.456713467687958,2.774358966741597
18,bi,16,2,1,5,True,13.458610404695445,2.7636204544973118
18,bi,16,2,1,6,False,13.893426386942485,2.789340610184852
18,bi,16,2,1,6,True,13.428224384458424,2.748188319372818
18,bi,16,2,1,7,False,13.238896887331705,2.683681195821055
18,bi,16,2,1,7,True,13.36378644751443,2.7282613250407213
18,bi,16,2,1,8,False,13.742478909447328,2.7885080485837097
18,bi,16,2,1,8,True,13.411218086725137,2.7380095665326003
18,bi,16,2,1,9,False,13.497147117382609,2.7387429894666586
18,bi,16,2,1,9,True,13.415905074895377,2.7378873537917214
18,bi,16,2,1,10,False,13.49533642492208,2.787858117776423
18,bi,16,2,1,10,True,13.399843153520608,2.739164311958914
18,bi,16,2,,0,True,14.476479790611952,2.9022438674692266
18,bi,16,2,,1,True,13.368169801480986,2.729926605290622
18,bi,16,2,,2,True,13.163068678374374,2.6912127168504796
18,bi,16,2,,3,True,13.29409746904286,2.7330631249000406
18,bi,16,2,,4,True,13.227284095031118,2.715793223960116
18,bi,16,2,,5,True,13.726961955023112,2.797563019678933
18,bi,16,2,,6,True,13.240982523446473,2.7224280952585835
18,bi,16,2,,7,True,13.585726575285678,2.7866784238769027
18,bi,16,2,,8,True,13.352023286222616,2.74305337195792
18,bi,16,2,,9,True,13.223079045501947,2.7171992541069345
18,bi,16,2,8,1,False,14.72946780218767,2.9365821285945812
18,bi,16,2,8,1,True,14.72946780218767,2.9365821285945812
18,bi,16,2,8,2,False,13.561042843424614,2.7582019500720842
18,bi,16,2,8,2,True,13.934550052216078,2.812031031529701
18,bi,16,2,8,3,False,13.677389361341408,2.855439460256638
18,bi,16,2,8,3,True,13.518594430550726,2.7663880729542045
18,bi,16,2,8,4,False,13.58148024464193,2.7971272570927
18,bi,16,2,8,4,True,13.513101485801261,2.7736076252683453
18,bi,16,2,8,5,False,13.336492075684403,2.720637214046313
18,bi,16,2,8,5,True,13.446475994558291,2.755388011315298
18,bi,16,2,8,6,False,13.969264479426416,2.839028033884125
18,bi,16,2,8,6,True,13.482593217648004,2.76239073120664
18,bi,16,2,8,7,False,13.315817283291661,2.7140029336855083
18,bi,16,2,8,7,True,13.42377314344924,2.748180753680424
18,bi,16,2,8,8,False,14.200692337763687,2.944310157320705
18,bi,16,2,8,8,True,13.492421896256749,2.7649145895099636
18,bi,16,2,8,9,False,13.78556574781385,2.853375840717381
18,bi,16,2,8,9,True,13.54920494671492,2.7804111596089274
18,bi,16,2,8,10,False,13.322887353372467,2.7361883546458015
18,bi,16,2,8,10,True,13.504426930570588,2.7725059050738268
18,bi,16,2,5,1,False,14.517797771991043,2.9032189912505983
18,bi,16,2,5,1,True,14.517797771991043,2.9032189912505983
18,bi,16,2,5,2,False,13.309850496213903,2.6969167365261546
18,bi,16,2,5,2,True,13.629743174377627,2.7545439972324357
18,bi,16,2,5,3,False,13.184725495165107,2.6756959816799077
18,bi,16,2,5,3,True,13.22942424089575,2.688582345316248
18,bi,16,2,5,4,False,13.425503258058361,2.7730925977108214
18,bi,16,2,5,4,True,13.213258687428224,2.6972966872333917
18,bi,16,2,5,5,False,13.465854503377422,2.7614770516468936
18,bi,16,2,5,5,True,13.237777119003328,2.7079063623482305
18,bi,16,2,5,6,False,13.752030232432228,2.7774320264129106
